iter	Passed	Remaining
0	62	31049
1	71	17712
2	77	12876
3	85	10618
4	91	9103
5	99	8180
6	103	7316
7	106	6561
8	113	6183
9	119	5871
10	126	5611
11	130	5306
12	136	5129
13	143	4970
14	149	4827
15	155	4708
16	157	4485
17	163	4384
18	170	4308
19	173	4152
20	179	4091
21	185	4036
22	192	3984
23	198	3936
24	204	3892
25	211	3848
26	215	3775
27	219	3707
28	226	3676
29	228	3584
30	231	3497
31	237	3475
32	244	3453
33	250	3430
34	255	3399
35	261	3374
36	266	3332
37	270	3293
38	277	3278
39	283	3259
40	285	3200
41	290	3168
42	294	3134
43	297	3081
44	302	3054
45	307	3039
46	312	3009
47	316	2980
48	320	2952
49	327	2943
50	333	2936
51	337	2909
52	340	2872
53	345	2850
54	351	2845
55	357	2836
56	362	2813
57	364	2780
58	369	2759
59	371	2725
60	378	2720
61	384	2716
62	389	2700
63	394	2684
64	400	2679
65	406	2672
66	412	2667
67	419	2662
68	423	2644
69	429	2638
70	434	2622
71	440	2617
72	446	2611
73	452	2605
74	458	2599
75	462	2582
76	467	2567
77	471	2552
78	477	2546
79	482	2533
80	487	2519
81	491	2506
82	498	2502
83	504	2496
84	510	2490
85	514	2475
86	520	2470
87	526	2464
88	532	2458
89	536	2445
90	543	2440
91	549	2434
92	554	2428
93	561	2423
94	565	2411
95	571	2406
96	577	2400
97	583	2395
98	588	2383
99	592	2370
100	599	2367
101	605	2361
102	609	2348
103	615	2343
104	621	2337
105	626	2330
106	633	2325
107	640	2325
108	643	2307
109	650	2304
110	656	2300
111	662	2295
112	668	2290
113	675	2286
114	679	2274
115	684	2264
116	690	2259
117	696	2255
118	699	2239
119	705	2234
120	710	2224
121	716	2220
122	723	2216
123	728	2210
124	733	2199
125	736	2187
126	743	2182
127	749	2176
128	753	2168
129	758	2159
130	762	2149
131	769	2144
132	773	2134
133	780	2130
134	786	2126
135	792	2120
136	796	2110
137	801	2101
138	803	2087
139	806	2074
140	812	2069
141	818	2064
142	823	2055
143	829	2051
144	834	2041
145	838	2033
146	844	2028
147	848	2019
148	854	2013
149	859	2005
150	866	2003
151	873	1999
152	879	1993
153	885	1988
154	890	1981
155	895	1973
156	901	1968
157	906	1963
158	911	1954
159	913	1941
160	918	1933
161	925	1930
162	928	1919
163	934	1913
164	940	1909
165	942	1896
166	948	1891
167	951	1879
168	955	1871
169	963	1869
170	971	1869
171	976	1861
172	981	1855
173	986	1849
174	993	1844
175	999	1839
176	1008	1839
177	1016	1838
178	1019	1828
179	1027	1827
180	1033	1821
181	1041	1819
182	1049	1817
183	1053	1809
184	1059	1803
185	1063	1796
186	1068	1788
187	1075	1784
188	1080	1778
189	1087	1773
190	1093	1768
191	1096	1758
192	1102	1754
193	1109	1749
194	1115	1744
195	1121	1739
196	1125	1731
197	1130	1724
198	1136	1719
199	1142	1714
200	1147	1706
201	1154	1702
202	1159	1696
203	1166	1692
204	1173	1688
205	1179	1683
206	1185	1677
207	1191	1672
208	1195	1665
209	1198	1655
210	1204	1650
211	1211	1645
212	1216	1638
213	1222	1633
214	1226	1625
215	1232	1620
216	1234	1610
217	1241	1605
218	1247	1600
219	1253	1595
220	1261	1592
221	1269	1589
222	1275	1584
223	1280	1577
224	1286	1572
225	1292	1567
226	1298	1562
227	1305	1557
228	1311	1552
229	1316	1545
230	1322	1540
231	1326	1532
232	1331	1525
233	1337	1520
234	1342	1513
235	1348	1508
236	1355	1503
237	1359	1496
238	1365	1491
239	1372	1486
240	1379	1482
241	1385	1476
242	1391	1471
243	1397	1466
244	1403	1461
245	1408	1454
246	1413	1447
247	1419	1442
248	1425	1436
249	1429	1429
250	1435	1424
251	1441	1418
252	1447	1413
253	1453	1407
254	1459	1402
255	1465	1396
256	1471	1391
257	1478	1386
258	1484	1380
259	1490	1375
260	1494	1368
261	1501	1363
262	1505	1357
263	1510	1350
264	1516	1344
265	1522	1339
266	1528	1333
267	1533	1327
268	1539	1321
269	1545	1316
270	1551	1311
271	1557	1305
272	1564	1300
273	1569	1294
274	1575	1289
275	1582	1284
276	1588	1278
277	1592	1271
278	1598	1266
279	1605	1261
280	1607	1252
281	1613	1247
282	1617	1240
283	1623	1235
284	1630	1230
285	1636	1224
286	1643	1219
287	1649	1213
288	1655	1208
289	1661	1202
290	1665	1196
291	1670	1189
292	1676	1184
293	1682	1179
294	1689	1173
295	1695	1168
296	1701	1163
297	1707	1157
298	1713	1151
299	1719	1146
300	1724	1139
301	1730	1134
302	1736	1129
303	1741	1122
304	1746	1116
305	1748	1108
306	1754	1103
307	1760	1097
308	1766	1092
309	1773	1086
310	1779	1081
311	1783	1074
312	1788	1068
313	1794	1063
314	1799	1056
315	1805	1051
316	1809	1044
317	1815	1039
318	1822	1033
319	1828	1028
320	1834	1023
321	1839	1016
322	1845	1011
323	1852	1006
324	1857	999
325	1859	992
326	1864	986
327	1870	980
328	1877	975
329	1883	970
330	1890	965
331	1896	959
332	1903	954
333	1909	949
334	1915	943
335	1921	938
336	1928	932
337	1934	926
338	1938	920
339	1941	913
340	1943	906
341	1950	900
342	1956	895
343	1961	889
344	1967	884
345	1970	877
346	1977	871
347	1983	866
348	1990	861
349	1995	855
350	2002	850
351	2006	843
352	2013	838
353	2019	833
354	2025	827
355	2032	822
356	2035	815
357	2041	809
358	2043	802
359	2046	795
360	2052	790
361	2058	784
362	2060	777
363	2065	771
364	2071	766
365	2073	759
366	2080	753
367	2086	748
368	2092	742
369	2097	736
370	2103	731
371	2109	725
372	2118	721
373	2120	714
374	2126	708
375	2129	702
376	2132	695
377	2136	689
378	2142	684
379	2145	677
380	2148	671
381	2155	665
382	2161	660
383	2167	654
384	2172	648
385	2178	643
386	2185	638
387	2191	632
388	2197	627
389	2204	621
390	2210	616
391	2216	610
392	2221	604
393	2224	598
394	2230	592
395	2238	587
396	2244	582
